run_rank,unitid,ipeds_name,total_attendees,company_variants,company_types,best_match_score,needs_match_review,currently_precomputed_local,selection_tier,data_readiness_score,bachelor_users_2005_2025,recent_bachelor_users_2020_2025,readiness_num,force_include_for_june5_503_run,batch_id
151,229814,West Texas A & M University,2,West Texas A&M University,College 4 Year Public,100.0,no,no,usable,61.8,13442.0,4108.0,61.8,yes,june5-4yr-04
152,181002,Creighton University,2,Creighton University,College 4 Year Private,100.0,no,no,usable,60.5,12828.0,4057.0,60.5,yes,june5-4yr-04
153,199157,North Carolina Central University,2,North Carolina Central University; North Carolina Central University - School of Business,College 4 Year Public,100.0,no,no,usable,59.1,12723.0,3569.0,59.1,yes,june5-4yr-04
154,169080,Calvin University,2,Calvin University,College 4 Year Private,100.0,no,no,usable,58.6,11387.0,3091.0,58.6,yes,june5-4yr-04
155,148487,Roosevelt University,2,Roosevelt University,College 4 Year Private,100.0,no,no,usable,57.3,18207.0,2810.0,57.3,yes,june5-4yr-04
156,174844,St Olaf College,2,St. Olaf College,College 4 Year Private,100.0,no,no,usable,56.4,10808.0,3009.0,56.4,yes,june5-4yr-04
157,202523,Denison University,2,Denison University,College 4 Year Private,100.0,no,no,usable,55.7,9186.0,2731.0,55.7,yes,june5-4yr-04
158,136950,Rollins College,2,Rollins College,College 4 Year Private,100.0,no,no,thin,53.8,10205.0,2932.0,53.8,yes,june5-4yr-04
159,127918,Regis University,2,Regis University,College 4 Year Private,100.0,no,no,thin,51.0,13714.0,2552.0,51.0,yes,june5-4yr-04
160,152318,Rose-Hulman Institute of Technology,2,Rose-Hulman Institute of Technology,College 4 Year Private,100.0,no,no,thin,48.9,8127.0,2370.0,48.9,yes,june5-4yr-04
161,153834,Luther College,2,Luther College,College 4 Year Private,100.0,no,no,thin,47.2,6867.0,1471.0,47.2,yes,june5-4yr-04
162,213987,Mercyhurst University,2,Mercyhurst University,College 4 Year Private,100.0,no,no,thin,46.9,8015.0,1958.0,46.9,yes,june5-4yr-04
163,209506,Oregon Institute of Technology,2,Oregon Institute of Technology,College 4 Year Public,100.0,no,no,thin,46.7,6617.0,2089.0,46.7,yes,june5-4yr-04
164,216287,Swarthmore College,2,Swarthmore College - Career Services,College 4 Year Private,100.0,no,no,thin,46.5,6434.0,2089.0,46.5,yes,june5-4yr-04
165,139144,Berry College,2,Berry College,College 4 Year Private,100.0,no,no,thin,43.9,5711.0,1717.0,43.9,yes,june5-4yr-04
166,132709,Broward College,2,Broward College,College 4 Year Public,100.0,no,no,thin,43.1,6988.0,3283.0,43.1,yes,june5-4yr-04
167,484905,University of North Texas at Dallas,2,University of North Texas at Dallas; University of North Texas at Dallas - Center for Socioeconomic Mobility through Education,College 4 Year Public,100.0,no,no,thin,42.3,4117.0,2494.0,42.3,yes,june5-4yr-04
168,199962,Wingate University,2,Wingate University,College 4 Year Private,100.0,no,no,thin,41.9,5212.0,1815.0,41.9,yes,june5-4yr-04
169,214157,Moravian University,2,Moravian University,College 4 Year Private,100.0,no,no,thin,41.9,5595.0,1710.0,41.9,yes,june5-4yr-04
170,188641,Alfred University,2,Alfred University,College 4 Year Private,100.0,no,no,thin,40.2,5185.0,1108.0,40.2,yes,june5-4yr-04
171,140696,Oglethorpe University,2,Oglethorpe University,College 4 Year Private,100.0,no,no,thin,40.1,3720.0,1339.0,40.1,yes,june5-4yr-04
172,148654,University of Illinois Springfield,2,University of Illinois Springfield,College 4 Year Public,100.0,no,no,thin,40.0,7488.0,1960.0,40.0,yes,june5-4yr-04
173,161457,University of New England,2,University of New England,College 4 Year Private,100.0,no,no,thin,39.9,5958.0,1725.0,39.9,yes,june5-4yr-04
174,217493,Rhode Island School of Design,2,Rhode Island School of Design,College 4 Year Private,100.0,no,no,thin,39.5,8715.0,2369.0,39.5,yes,june5-4yr-04
175,215947,Seton Hill University,2,Seton Hill University,College 4 Year Private,100.0,no,no,thin,39.2,4259.0,1269.0,39.2,yes,june5-4yr-04
176,169983,Kettering University,2,Kettering University,College 4 Year Private,100.0,no,no,thin,38.8,5834.0,1702.0,38.8,yes,june5-4yr-04
177,181330,Midland University,2,Midland University,College 4 Year Private,100.0,no,no,thin,37.7,2772.0,1173.0,37.7,yes,june5-4yr-04
